A0A024RBG1,NUD4B_HUMAN
A4D1U4,DEN11_HUMAN
A4D256,CC14C_HUMAN
A4D263,SPT48_HUMAN
A4D2H0,CTGEF_HUMAN
A4D2P6,GRD2I_HUMAN
A4FU01,MTMRB_HUMAN
A4FU28,CTGE9_HUMAN
A4FU69,EFCB5_HUMAN
A4GXA9,EME2_HUMAN
A4IF30,S35F4_HUMAN
A4QMS7,CE049_HUMAN
A4UGR9,XIRP2_HUMAN
A5D8V6,VP37C_HUMAN
A5D8V7,CC151_HUMAN
A5LHX3,PSB11_HUMAN
A5PKW4,PSD1_HUMAN
A5PL33,KRBA1_HUMAN
A5PLK6,RGSL_HUMAN
A5PLL1,AN34B_HUMAN
A5PLL7,TM189_HUMAN
A5PLN7,F149A_HUMAN
A5X5Y0,5HT3E_HUMAN
A5YKK6,CNOT1_HUMAN
A5YM69,ARG35_HUMAN
A6BM72,MEG11_HUMAN
A6H8Y1,BDP1_HUMAN
A6H8Z2,F221B_HUMAN
A6NC57,ANR62_HUMAN
A6NC98,CC88B_HUMAN
A6NCC3,GOG8O_HUMAN
A6NCI4,VWA3A_HUMAN
A6NCI8,CB078_HUMAN
A6NCL1,GEMC1_HUMAN
A6NCL2,LRCL1_HUMAN
A6NCL7,AN33B_HUMAN
A6NCM1,IQCAL_HUMAN
A6NCQ9,RN222_HUMAN
A6NCS4,NKX26_HUMAN
A6NCS6,CB072_HUMAN
A6NCW0,U17L3_HUMAN
A6NCW7,U17L4_HUMAN
A6ND36,FA83G_HUMAN
A6NDA9,LRIT2_HUMAN
A6NDB9,PALM3_HUMAN
A6NDD5,SYN1L_HUMAN
A6NDE4,RBY1B_HUMAN
A6NDE8,GG12H_HUMAN
A6NDK9,GOG6C_HUMAN
A6NDN3,GOG6B_HUMAN
A6NDS4,TBC3B_HUMAN
A6NDV4,TMM8B_HUMAN
A6NDY0,EPAB2_HUMAN
A6NDY2,F90AA_HUMAN
A6NDZ8,MB3L4_HUMAN
A6NE01,F186A_HUMAN
A6NE21,F90AI_HUMAN
A6NE52,WDR97_HUMAN
A6NE82,MB3L3_HUMAN
A6NEE1,PLHD1_HUMAN
A6NEH6,TM247_HUMAN
A6NEL2,SWAHB_HUMAN
A6NEN9,CX065_HUMAN
A6NEQ0,RBY1E_HUMAN
A6NEQ2,F181B_HUMAN
A6NEV1,PR23A_HUMAN
A6NEW6,F90AG_HUMAN
A6NF34,ANTRL_HUMAN
A6NF83,NUPR2_HUMAN
A6NFA0,F205C_HUMAN
A6NFA1,TIKI2_HUMAN
A6NFD8,HELT_HUMAN
A6NFE2,SMCO2_HUMAN
A6NFI3,ZN316_HUMAN
A6NFK2,GRCR2_HUMAN
A6NFN3,RFOX3_HUMAN
A6NFN9,ANKUB_HUMAN
A6NFQ7,DPRX_HUMAN
A6NFX1,MFS2B_HUMAN
A6NFY7,SDHF1_HUMAN
A6NFZ4,FA24A_HUMAN
A6NGA9,TM202_HUMAN
A6NGB7,TM221_HUMAN
A6NGB9,WIPF3_HUMAN
A6NGC4,TLCD2_HUMAN
A6NGD5,ZSA5C_HUMAN
A6NGE4,DC8L1_HUMAN
A6NGG8,PCARE_HUMAN
A6NGQ2,OOEP_HUMAN
A6NGR9,MROH6_HUMAN
A6NGS2,ERIC4_HUMAN
A6NGY1,FRG2C_HUMAN
A6NGY3,CE052_HUMAN
A6NHJ4,ZN860_HUMAN
A6NHN0,OTOL1_HUMAN
A6NHP3,SPE2B_HUMAN
A6NHQ2,FBLL1_HUMAN
A6NHQ4,EPOP_HUMAN
A6NHR9,SMHD1_HUMAN
A6NHS7,MANS4_HUMAN
A6NHT5,HMX3_HUMAN
A6NI15,MSGN1_HUMAN
A6NI28,RHG42_HUMAN
A6NI79,CCD69_HUMAN
A6NI87,CBY3_HUMAN
A6NIH7,U119B_HUMAN
A6NIK2,LR10B_HUMAN
A6NIN4,RN227_HUMAN
A6NIR3,AGAP5_HUMAN
A6NIX2,WTIP_HUMAN
A6NIY4,SPDE5_HUMAN
A6NJ08,MB3L5_HUMAN
A6NJ46,NKX63_HUMAN
A6NJ64,NPIB2_HUMAN
A6NJB7,PRR19_HUMAN
A6NJG2,SWAHD_HUMAN
A6NJG6,ARGFX_HUMAN
A6NJI1,CK086_HUMAN
A6NJI9,LRC72_HUMAN
A6NJJ6,CS067_HUMAN
A6NJL1,ZSA5B_HUMAN
A6NJQ4,F90A8_HUMAN
A6NJT0,UNC4_HUMAN
A6NJW4,LRR3C_HUMAN
A6NJZ7,RIM3C_HUMAN
A6NK53,ZN233_HUMAN
A6NK59,ASB14_HUMAN
A6NK89,RASFA_HUMAN
A6NKB5,PCX2_HUMAN
A6NKC0,F90A7_HUMAN
A6NKC9,SH2D7_HUMAN
A6NKD2,TSPY2_HUMAN
A6NKD9,CC85C_HUMAN
A6NKF2,ARI3C_HUMAN
A6NKF7,TM88B_HUMAN
A6NKG5,RTL1_HUMAN
A6NKL6,T200C_HUMAN
A6NKN8,PC4L1_HUMAN
A6NKP2,D42E2_HUMAN
A6NKU9,SPDE3_HUMAN
A6NKW6,SHL2B_HUMAN
A6NL88,SHSA7_HUMAN
A6NLC5,CC070_HUMAN
A6NLE4,SIM23_HUMAN
A6NLJ0,C2C4B_HUMAN
A6NLU5,VTM2B_HUMAN
A6NLW8,DUXA_HUMAN
A6NLX3,SPDE4_HUMAN
A6NLX4,TM210_HUMAN
A6NM10,AQ12B_HUMAN
A6NM11,L37A2_HUMAN
A6NM28,ZFP92_HUMAN
A6NM62,LRC53_HUMAN
A6NMA1,TR5OS_HUMAN
A6NMB9,FIGL2_HUMAN
A6NMD0,IFM10_HUMAN
A6NMD2,GOG8J_HUMAN
A6NMK8,INY2B_HUMAN
A6NMN3,F170B_HUMAN
A6NMS7,L37A1_HUMAN
A6NMT0,DBX1_HUMAN
A6NMX2,I4E1B_HUMAN
A6NMZ2,SNTAN_HUMAN
A6NMZ7,CO6A6_HUMAN
A6NN14,ZN729_HUMAN
A6NN90,CB081_HUMAN
A6NNA5,DRGX_HUMAN
A6NNE9,MARHB_HUMAN
A6NNJ1,F90A9_HUMAN
A6NNL0,NTM2B_HUMAN
A6NNM3,RIM3B_HUMAN
A6NNM8,TTL13_HUMAN
A6NNP5,CC169_HUMAN
A6NNT2,CP096_HUMAN
A6NNW6,ENO4_HUMAN
A6NP61,ZAR1L_HUMAN
A6PVL3,KNCN_HUMAN
A6PVS8,LRIQ3_HUMAN
A6PVY3,F177B_HUMAN
A6QL63,BTBDB_HUMAN
A6XGL0,YJEN3_HUMAN
A7E2F4,GOG8A_HUMAN
A7E2S9,A30BL_HUMAN
A7E2V4,ZSWM8_HUMAN
A7KAX9,RHG32_HUMAN
A7MBM2,DISP2_HUMAN
A7MCY6,TBKB1_HUMAN
A7MD48,SRRM4_HUMAN
A7XYQ1,SOBP_HUMAN
A8CG34,P121C_HUMAN
A8K0R7,ZN839_HUMAN
A8K0Z3,WASH1_HUMAN
A8K5M9,CO062_HUMAN
A8K830,COLC2_HUMAN
A8K855,EFCB7_HUMAN
A8K8P3,SFI1_HUMAN
A8K8V0,ZN785_HUMAN
A8K979,ERI2_HUMAN
A8MPX8,PP2D1_HUMAN
A8MPY1,GBRR3_HUMAN
A8MQ03,CRTP1_HUMAN
A8MQ14,ZN850_HUMAN
A8MQ27,NEU1B_HUMAN
A8MQT2,GOG8B_HUMAN
A8MT33,SYC1L_HUMAN
A8MT65,ZN891_HUMAN
A8MT70,ZBBX_HUMAN
A8MTA8,F166B_HUMAN
A8MTJ6,FOXI3_HUMAN
A8MTL3,R212B_HUMAN
A8MTQ0,NOTO_HUMAN
A8MTY0,ZN724_HUMAN
A8MTY7,KRA97_HUMAN
A8MTZ7,CL071_HUMAN
A8MU46,SMTL1_HUMAN
A8MU93,CQ100_HUMAN
A8MUK1,U17L5_HUMAN
A8MUX0,KR161_HUMAN
A8MUZ8,Z705G_HUMAN
A8MV65,VGLL3_HUMAN
A8MVA2,KRA96_HUMAN
A8MVS5,HIDE1_HUMAN
A8MVW0,F1712_HUMAN
A8MW92,P20L1_HUMAN
A8MW95,BECN2_HUMAN
A8MW99,MEI4_HUMAN
A8MWA4,Z705E_HUMAN
A8MWA6,F90AM_HUMAN
A8MWE9,EFCB8_HUMAN
A8MWV9,SM34A_HUMAN
A8MWY0,K132L_HUMAN
A8MX34,KR291_HUMAN
A8MXD5,GRCR1_HUMAN
A8MXT2,MAGBH_HUMAN
A8MXV6,CD15L_HUMAN
A8MXY4,ZNF99_HUMAN
A8MXZ1,F90AN_HUMAN
A8MXZ3,KRA91_HUMAN
A8MYA2,CX049_HUMAN
A8MYU2,KCNU1_HUMAN
A8MYZ0,MIY4B_HUMAN
A8MYZ6,FOXO6_HUMAN
A8MZ36,EVPLL_HUMAN
A8MZ59,LEUTX_HUMAN
A8MZA4,GG6L6_HUMAN
A8MZG2,CP090_HUMAN
A8TX70,CO6A5_HUMAN
A9QM74,IMA8_HUMAN
B0FP48,UPK3L_HUMAN
B0YJ81,HACD1_HUMAN
B1AJZ9,FHAD1_HUMAN
B1AK53,ESPN_HUMAN
B1AKI9,ISM1_HUMAN
B1AL46,NTM2E_HUMAN
B1AL88,F155A_HUMAN
B1ANS9,WDR64_HUMAN
B1ATL7,PRR32_HUMAN
B2RC85,R10B2_HUMAN
B2RNN3,C1T9B_HUMAN
B2RTY4,MYO9A_HUMAN
B2RU33,POTEC_HUMAN
B2RXF0,T229A_HUMAN
B2RXF5,ZBT42_HUMAN
B2RXH2,KDM4E_HUMAN
B2RXH4,BTBDI_HUMAN
B2RXH8,HNRC2_HUMAN
B3KS81,SRRM5_HUMAN
B3KU38,IQIP1_HUMAN
B4DJY2,TM233_HUMAN
B4DS77,SHSA9_HUMAN
B4DU55,ZN879_HUMAN
B5ME19,EIFCL_HUMAN
B7U540,KCJ18_HUMAN
B7Z1M9,C2D4D_HUMAN
B7ZBB8,PP13G_HUMAN
B7ZW38,HNRC3_HUMAN
B8ZZ34,SHSA8_HUMAN
B9A6J9,TBC3L_HUMAN
C9J069,AJM1_HUMAN
C9J302,CD051_HUMAN
C9J3V5,TEX22_HUMAN
C9J6K1,CS081_HUMAN
C9J7I0,UMAD1_HUMAN
C9JDP6,CLD25_HUMAN
C9JE40,PATL2_HUMAN
C9JFL3,PHGR1_HUMAN
C9JH25,PRRT4_HUMAN
C9JI98,TM238_HUMAN
C9JJH3,U17LA_HUMAN
C9JL84,HHLA1_HUMAN
C9JLJ4,U17LD_HUMAN
C9JLR9,CK095_HUMAN
C9JPN9,UL17C_HUMAN
C9JQI7,TM232_HUMAN
C9JSJ3,BHMG1_HUMAN
C9JTQ0,ANR63_HUMAN
C9JUS6,ADM5_HUMAN
C9JVI0,U17LB_HUMAN
C9JVW0,INAM1_HUMAN
C9JXX5,CK094_HUMAN
D3W0D1,KLRF2_HUMAN
D6R901,U17LL_HUMAN
D6R9N7,U17LI_HUMAN
D6RA61,U17LM_HUMAN
D6RBM5,U17LN_HUMAN
D6RBQ6,U17LH_HUMAN
D6RCP7,U17LJ_HUMAN
D6RGH6,MCIN_HUMAN
D6RGX4,F90AP_HUMAN
D6RIA3,CD054_HUMAN
D6RJB6,U17LK_HUMAN
E2RYF6,MUC22_HUMAN
E5RIL1,UPKL2_HUMAN
E5RJM6,ANR65_HUMAN
E7ERA6,RN223_HUMAN
E7ETH6,Z587B_HUMAN
E7EW31,PROB1_HUMAN
E9PAV3,NACAM_HUMAN
E9PGG2,ANHX_HUMAN
E9PI22,P23D1_HUMAN
E9PRG8,CK098_HUMAN
F5GYI3,UBA1L_HUMAN
F5H4A9,CC080_HUMAN
F5H4B4,F227A_HUMAN
F8WBI6,GOG8N_HUMAN
F8WCM5,INSR2_HUMAN
H0YM25,GG6LV_HUMAN
H3BNL1,CC084_HUMAN
H3BPF8,GOG8S_HUMAN
H3BQB6,STMD1_HUMAN
H3BQL2,GOG8T_HUMAN
H3BQW9,F229A_HUMAN
H3BR10,SMLR1_HUMAN
H3BSY2,GOG8M_HUMAN
H3BTG2,TEX46_HUMAN
H3BU77,CC179_HUMAN
H3BUK9,POTB2_HUMAN
H3BV12,GOG8Q_HUMAN
H3BV60,TGR3L_HUMAN
H7BZ55,CRCC2_HUMAN
H7C350,CC188_HUMAN
I3L1E1,CS084_HUMAN
I3L273,GFY_HUMAN
I3L3R5,CCER2_HUMAN
I6L899,GOG8R_HUMAN
K7EJ46,SIM22_HUMAN
M0QZC1,RN225_HUMAN
M0R2J8,DCDC1_HUMAN
O00110,OVOL3_HUMAN
O00116,ADAS_HUMAN
O00139,KIF2A_HUMAN
O00141,SGK1_HUMAN
O00142,KITM_HUMAN
O00144,FZD9_HUMAN
O00148,DX39A_HUMAN
O00151,PDLI1_HUMAN
O00154,BACH_HUMAN
O00155,GPR25_HUMAN
O00160,MYO1F_HUMAN
O00161,SNP23_HUMAN
O00165,HAX1_HUMAN
O00167,EYA2_HUMAN
O00168,PLM_HUMAN
O00178,GTPB1_HUMAN
O00180,KCNK1_HUMAN
O00189,AP4M1_HUMAN
O00192,ARVC_HUMAN
O00193,SMAP_HUMAN
O00203,AP3B1_HUMAN
O00204,ST2B1_HUMAN
O00213,APBB1_HUMAN
O00217,NDUS8_HUMAN
O00219,HYAS3_HUMAN
O00220,TR10A_HUMAN
O00221,IKBE_HUMAN
O00222,GRM8_HUMAN
O00230,CORT_HUMAN
O00237,RN103_HUMAN
O00253,AGRP_HUMAN
O00254,PAR3_HUMAN
O00255,MEN1_HUMAN
O00257,CBX4_HUMAN
O00258,WRB_HUMAN
O00267,SPT5H_HUMAN
O00268,TAF4_HUMAN
O00273,DFFA_HUMAN
O00287,RFXAP_HUMAN
O00291,HIP1_HUMAN
O00292,LFTY2_HUMAN
O00294,TULP1_HUMAN
O00295,TULP2_HUMAN
O00303,EIF3F_HUMAN
O00305,CACB4_HUMAN
O00308,WWP2_HUMAN
O00311,CDC7_HUMAN
O00321,ETV2_HUMAN
O00327,BMAL1_HUMAN
O00330,ODPX_HUMAN
O00337,S28A1_HUMAN
O00339,MATN2_HUMAN
O00341,EAA5_HUMAN
O00358,FOXE1_HUMAN
O00391,QSOX1_HUMAN
O00400,ACATN_HUMAN
O00401,WASL_HUMAN
O00408,PDE2A_HUMAN
O00409,FOXN3_HUMAN
O00411,RPOM_HUMAN
O00418,EF2K_HUMAN
O00423,EMAL1_HUMAN
O00425,IF2B3_HUMAN
O00429,DNM1L_HUMAN
O00443,P3C2A_HUMAN
O00444,PLK4_HUMAN
O00445,SYT5_HUMAN
O00451,GFRA2_HUMAN
O00458,IFRD1_HUMAN
O00459,P85B_HUMAN
O00461,GOLI4_HUMAN
O00469,PLOD2_HUMAN
O00470,MEIS1_HUMAN
O00471,EXOC5_HUMAN
O00472,ELL2_HUMAN
O00478,BT3A3_HUMAN
O00479,HMGN4_HUMAN
O00482,NR5A2_HUMAN
O00488,ZN593_HUMAN
O00499,BIN1_HUMAN
O00505,IMA4_HUMAN
O00506,STK25_HUMAN
O00507,USP9Y_HUMAN
O00512,BCL9_HUMAN
O00515,LAD1_HUMAN
O00533,NCHL1_HUMAN
O00541,PESC_HUMAN
O00548,DLL1_HUMAN
O00555,CAC1A_HUMAN
O00559,RCAS1_HUMAN
O00560,SDCB1_HUMAN
O00562,PITM1_HUMAN
O00566,MPP10_HUMAN
O00567,NOP56_HUMAN
O00570,SOX1_HUMAN
O00571,DDX3X_HUMAN
O00585,CCL21_HUMAN
O00587,MFNG_HUMAN
O00590,ACKR2_HUMAN
O00591,GBRP_HUMAN
O00592,PODXL_HUMAN
O00602,FCN1_HUMAN
O00629,IMA3_HUMAN
O00712,NFIB_HUMAN
O00716,E2F3_HUMAN
O00746,NDKM_HUMAN
O00750,P3C2B_HUMAN
O00763,ACACB_HUMAN
O00767,ACOD_HUMAN
O14490,DLGP1_HUMAN
O14492,SH2B2_HUMAN
O14494,PLPP1_HUMAN
O14495,PLPP3_HUMAN
O14497,ARI1A_HUMAN
O14503,BHE40_HUMAN
O14511,NRG2_HUMAN
O14512,SOCS7_HUMAN
O14513,NCKP5_HUMAN
O14514,AGRB1_HUMAN
O14519,CDKA1_HUMAN
O14520,AQP7_HUMAN
O14521,DHSD_HUMAN
O14522,PTPRT_HUMAN
O14523,C2C2L_HUMAN
O14524,NEMP1_HUMAN
O14526,FCHO1_HUMAN
O14529,CUX2_HUMAN
O14530,TXND9_HUMAN
O14531,DPYL4_HUMAN
O14544,SOCS6_HUMAN
O14545,TRAD1_HUMAN
O14556,G3PT_HUMAN
O14559,RHG33_HUMAN
O14561,ACPM_HUMAN
O14562,UBFD1_HUMAN
O14576,DC1I1_HUMAN
O14578,CTRO_HUMAN
O14594,NCAN_HUMAN
O14595,CTDS2_HUMAN
O14598,VCY1_HUMAN
O14602,IF1AY_HUMAN
O14607,UTY_HUMAN
O14613,BORG1_HUMAN
O14617,AP3D1_HUMAN
O14627,CDX4_HUMAN
O14628,ZN195_HUMAN
O14633,LCE2B_HUMAN
O14638,ENPP3_HUMAN
O14639,ABLM1_HUMAN
O14640,DVL1_HUMAN
O14641,DVL2_HUMAN
O14645,IDLC_HUMAN
O14646,CHD1_HUMAN
O14647,CHD2_HUMAN
O14649,KCNK3_HUMAN
O14653,GOSR2_HUMAN
O14654,IRS4_HUMAN
O14662,STX16_HUMAN
O14668,TMG1_HUMAN
O14669,TMG2_HUMAN
O14672,ADA10_HUMAN
O14681,EI24_HUMAN
O14686,KMT2D_HUMAN
O14709,ZN197_HUMAN
O14713,ITBP1_HUMAN
O14730,RIOK3_HUMAN
O14733,MP2K7_HUMAN
O14737,PDCD5_HUMAN
O14745,NHRF1_HUMAN
O14746,TERT_HUMAN
O14753,OVOL1_HUMAN
O14757,CHK1_HUMAN
O14763,TR10B_HUMAN
O14764,GBRD_HUMAN
O14770,MEIS2_HUMAN
O14771,ZN213_HUMAN
O14776,TCRG1_HUMAN
O14777,NDC80_HUMAN
O14787,TNPO2_HUMAN
O14788,TNF11_HUMAN
O14791,APOL1_HUMAN
O14792,HS3S1_HUMAN
O14793,GDF8_HUMAN
O14795,UN13B_HUMAN
O14810,CPLX1_HUMAN
O14813,PHX2A_HUMAN
O14827,RGRF2_HUMAN
O14828,SCAM3_HUMAN
O14829,PPE1_HUMAN
O14830,PPE2_HUMAN
O14836,TR13B_HUMAN
O14843,FFAR3_HUMAN
O14862,AIM2_HUMAN
O14863,ZNT4_HUMAN
O14867,BACH1_HUMAN
O14874,BCKD_HUMAN
O14896,IRF6_HUMAN
O14901,KLF11_HUMAN
O14905,WNT9B_HUMAN
O14908,GIPC1_HUMAN
O14917,PCD17_HUMAN
O14920,IKKB_HUMAN
O14924,RGS12_HUMAN
O14925,TIM23_HUMAN
O14931,NCTR3_HUMAN
O14939,PLD2_HUMAN
O14944,EREG_HUMAN
O14948,TFEC_HUMAN
O14964,HGS_HUMAN
O14967,CLGN_HUMAN
O14974,MYPT1_HUMAN
O14976,GAK_HUMAN
O14978,ZN263_HUMAN
O14979,HNRDL_HUMAN
O14981,BTAF1_HUMAN
O14986,PI51B_HUMAN
O14990,IPP2C_HUMAN
O14994,SYN3_HUMAN
O15013,ARHGA_HUMAN
O15014,ZN609_HUMAN
O15015,ZN646_HUMAN
O15018,PDZD2_HUMAN
O15020,SPTN2_HUMAN
O15021,MAST4_HUMAN
O15027,SC16A_HUMAN
O15033,AREL1_HUMAN
O15034,RIMB2_HUMAN
O15037,KHNYN_HUMAN
O15040,TCPR2_HUMAN
O15041,SEM3E_HUMAN
O15042,SR140_HUMAN
O15047,SET1A_HUMAN
O15049,N4BP3_HUMAN
O15050,TRNK1_HUMAN
O15054,KDM6B_HUMAN
O15055,PER2_HUMAN
O15056,SYNJ2_HUMAN
O15060,ZBT39_HUMAN
O15062,ZBTB5_HUMAN
O15063,K0355_HUMAN
O15066,KIF3B_HUMAN
O15068,MCF2L_HUMAN
O15069,NACAD_HUMAN
O15072,ATS3_HUMAN
O15075,DCLK1_HUMAN
O15078,CE290_HUMAN
O15079,SNPH_HUMAN
O15083,ERC2_HUMAN
O15085,ARHGB_HUMAN
O15090,ZN536_HUMAN
O15091,MRPP3_HUMAN
O15105,SMAD7_HUMAN
O15111,IKKA_HUMAN
O15117,FYB1_HUMAN
O15119,TBX3_HUMAN
O15123,ANGP2_HUMAN
O15126,SCAM1_HUMAN
O15127,SCAM2_HUMAN
O15130,NPFF_HUMAN
O15151,MDM4_HUMAN
O15156,ZBT7B_HUMAN
O15162,PLS1_HUMAN
O15164,TIF1A_HUMAN
O15165,LRAD4_HUMAN
O15169,AXIN1_HUMAN
O15173,PGRC2_HUMAN
O15178,TBXT_HUMAN
O15194,CTDSL_HUMAN
O15195,VILL_HUMAN
O15198,SMAD9_HUMAN
O15204,ADEC1_HUMAN
O15209,ZBT22_HUMAN
O15211,RGL2_HUMAN
O15213,WDR46_HUMAN
O15218,GP182_HUMAN
O15226,NKRF_HUMAN
O15231,ZN185_HUMAN
O15232,MATN3_HUMAN
O15234,CASC3_HUMAN
O15240,VGF_HUMAN
O15259,NPHP1_HUMAN
O15265,ATX7_HUMAN
O15266,SHOX_HUMAN
O15270,SPTC2_HUMAN
O15297,PPM1D_HUMAN
O15315,RA51B_HUMAN
O15327,INP4B_HUMAN
O15347,HMGB3_HUMAN
O15350,P73_HUMAN
O15353,FOXN1_HUMAN
O15354,GPR37_HUMAN
O15355,PPM1G_HUMAN
O15357,SHIP2_HUMAN
O15370,SOX12_HUMAN
O15371,EIF3D_HUMAN
O15372,EIF3H_HUMAN
O15374,MOT5_HUMAN
O15375,MOT6_HUMAN
O15379,HDAC3_HUMAN
O15381,NVL_HUMAN
O15389,SIGL5_HUMAN
O15391,TYY2_HUMAN
O15393,TMPS2_HUMAN
O15394,NCAM2_HUMAN
O15397,IPO8_HUMAN
O15399,NMDE4_HUMAN
O15400,STX7_HUMAN
O15403,MOT7_HUMAN
O15405,TOX3_HUMAN
O15409,FOXP2_HUMAN
O15417,TNC18_HUMAN
O15427,MOT4_HUMAN
